id,Presentation,Structural,Temporal,Gratitude,Signature,Status,Deprecation,Duplication,DateTime,Actual,Predicted,,,,
543821,0,0,0,1,0,0,0,0,2009-03-10 13:36,1,1,,,,
544597,0,0,0,0,0,1,0,0,2009-02-14 1:19,1,1,,,,
550428,0,0,1,0,0,0,0,0,2017-07-30 20:54,1,1,,,,
1909599,0,0,1,0,0,0,0,0,2018-02-15 11:18,1,1,,,,
1950763,0,0,1,0,0,0,0,0,2018-05-08 21:07,1,1,,,,
1999382,0,0,1,0,0,0,0,0,2018-05-03 19:51,1,1,,,,
2033914,0,0,1,0,0,0,0,0,2017-09-19 14:46,1,1,,,,
2033914,0,0,1,0,0,0,0,0,2018-02-24 10:44,1,1,,,TP,200
2040415,0,0,1,0,0,0,0,0,2016-04-10 7:13,1,1,,,FP,0
13221863,0,0,1,0,0,1,1,0,2019-05-25 14:46,1,1,,,TN,0
9,0,0,0,0,0,0,0,0,2018-04-21 17:48,0,0,,,FN,0
173,0,0,0,0,0,0,0,0,2019-05-31 18:19,0,0,,,,
1053,1,0,0,0,0,0,0,0,2011-09-23 1:16,1,0,,,,
2815,0,0,0,0,0,0,0,0,2012-05-08 4:27,0,0,,,,
5118,0,0,0,0,0,0,0,0,2013-10-28 14:44,0,0,,,,
6729,0,0,0,0,0,0,0,0,2010-09-28 7:41,0,0,,,,
13857,0,0,0,0,0,0,0,0,2009-11-25 19:55,0,0,,,,
19151,0,0,0,0,0,0,0,0,2016-07-27 21:57,0,0,,,,
20728,0,0,0,0,0,0,0,0,2015-11-30 2:02,0,0,,,,
21229,0,0,0,0,0,0,0,0,2015-08-14 19:48,0,0,,,,
21593,0,0,0,0,0,0,0,0,2016-03-25 11:04,0,0,,,,
25192,0,0,0,0,0,0,0,0,2017-07-19 16:47,0,0,,,,
28150,0,0,0,0,0,0,0,0,2008-08-26 14:46,0,0,,,,
29511,0,0,0,0,0,0,0,0,2008-08-27 4:39,0,0,,,,
33923,0,0,0,0,0,0,0,0,2016-10-11 2:30,0,0,,,,
35339,0,0,0,0,0,0,0,0,2008-08-29 21:51,0,0,,,,
41665,0,0,0,0,0,0,0,0,2008-09-04 6:33,0,0,,,,
44834,0,0,0,0,0,0,0,0,2016-03-03 17:52,0,0,,,TP,0
48249,0,0,0,0,0,0,0,0,2018-09-27 0:55,0,0,,,FP,0
48934,0,0,0,0,0,0,0,0,2008-09-08 4:44,0,0,,,TN,196
